#constant measurement,meu_measurement
#datatype tag,dateTime:2006-01-02T15:04:05Z,long
ID,DateTime,Count
1,2012-08-25T01:00:00Z,2
2,2012-08-25T02:00:00Z,6
3,2012-08-25T03:00:00Z,2
4,2012-08-25T04:00:00Z,2
5,2012-08-25T05:00:00Z,2
6,2012-08-25T06:00:00Z,2
7,2012-08-25T07:00:00Z,2
8,2012-08-25T08:00:00Z,6
9,2012-08-25T09:00:00Z,2
10,2012-08-25T10:00:00Z,2
11,2012-08-25T11:00:00Z,6
12,2012-08-25T12:00:00Z,4
13,2012-08-25T13:00:00Z,2
14,2012-08-25T14:00:00Z,6
15,2012-08-25T15:00:00Z,2
16,2012-08-25T16:00:00Z,2
17,2012-08-25T17:00:00Z,2
18,2012-08-25T18:00:00Z,2
19,2012-08-25T19:00:00Z,2
20,2012-08-25T20:00:00Z,2
21,2012-08-25T21:00:00Z,6
22,2012-08-25T22:00:00Z,2
23,2012-08-25T23:00:00Z,2
24,2012-08-26T00:00:00Z,4
25,2012-08-26T01:00:00Z,6
26,2012-08-26T02:00:00Z,2
27,2012-08-26T03:00:00Z,4
28,2012-08-26T04:00:00Z,2
29,2012-08-26T05:00:00Z,2
30,2012-08-26T06:00:00Z,2
31,2012-08-26T07:00:00Z,2
32,2012-08-26T08:00:00Z,2
33,2012-08-26T09:00:00Z,4
34,2012-08-26T10:00:00Z,2
35,2012-08-26T11:00:00Z,2
36,2012-08-26T12:00:00Z,8
37,2012-08-26T13:00:00Z,6
38,2012-08-26T14:00:00Z,6
39,2012-08-26T15:00:00Z,6
40,2012-08-26T16:00:00Z,2
41,2012-08-26T17:00:00Z,4
42,2012-08-26T18:00:00Z,4
43,2012-08-26T19:00:00Z,4
44,2012-08-26T20:00:00Z,2
45,2012-08-26T21:00:00Z,2
46,2012-08-26T22:00:00Z,4
47,2012-08-26T23:00:00Z,6
48,2012-08-27T00:00:00Z,6
49,2012-08-27T01:00:00Z,2
50,2012-08-27T02:00:00Z,2
51,2012-08-27T03:00:00Z,2
52,2012-08-27T04:00:00Z,2
53,2012-08-27T05:00:00Z,2
54,2012-08-27T06:00:00Z,4
55,2012-08-27T07:00:00Z,2
56,2012-08-27T08:00:00Z,2
57,2012-08-27T09:00:00Z,2
58,2012-08-27T10:00:00Z,2
59,2012-08-27T11:00:00Z,2
60,2012-08-27T12:00:00Z,2
61,2012-08-27T13:00:00Z,2
62,2012-08-27T14:00:00Z,2
63,2012-08-27T15:00:00Z,4
64,2012-08-27T16:00:00Z,2
65,2012-08-27T17:00:00Z,2
66,2012-08-27T18:00:00Z,4
67,2012-08-27T19:00:00Z,2
68,2012-08-27T20:00:00Z,4
69,2012-08-27T21:00:00Z,2
70,2012-08-27T22:00:00Z,2
71,2012-08-27T23:00:00Z,4
72,2012-08-28T00:00:00Z,2
73,2012-08-28T01:00:00Z,2
74,2012-08-28T02:00:00Z,2
75,2012-08-28T03:00:00Z,2
76,2012-08-28T04:00:00Z,2
77,2012-08-28T05:00:00Z,2
78,2012-08-28T06:00:00Z,2
79,2012-08-28T07:00:00Z,2
